name
PENN YAN AIRPORT
NIAGARA FALLS INTL AIRPORT
LA GUARDIA AIRPORT
OSWEGO COUNTY AIRPORT
MONTAUK AIRPORT
ORANGE COUNTY AIRPORT
STEWART INTERNATIONAL AIRPORT
WESTCHESTER COUNTY AIRPORT
REPUBLIC AIRPORT
DUTCHESS COUNTY AIRPORT
ALBANY INTERNATIONAL AIRPORT
SCHENECTADY COUNTY AIRPORT
EAST HAMPTON AIRPORT
FLOYD BENNETT MEMO AIRPORT
WHEELER-SACK AAF AIRPORT
WATERTOWN INTL AIRPORT
BROOKHAVEN AIRPORT
